"","G3","G22","G58","G59","G76","G82","G87","G90","G115","G162","G165","G168","G171","G174","G177","G180","G216","G277","G278","G279","G280","G282","G283","G287","G290","G316","G317","G321","G323","G325","G330","G383","G387","G391","G597","G600","G603","G606","G658","G661","G663","G665","G667","G668","G669"
"G280",0.42113115388297,0.463327146690565,0.477547457265015,0.37606895210156,0.414740551390129,0.464460521859118,0.387486527335554,0.438704820476847,0.445130156389823,0.3875671636101,0.387667826800432,0.390554067982991,0.446278504057289,0.423918242469663,0.399955605430875,0.509855205995977,0.395997051152459,0.449413643262388,0.506250865869973,0.614288160878148,1,0.591469589157608,0.440597153490108,0.403253030555959,0.450371439193717,0.451377026701219,0.460918479853973,0.456620538326884,0.446288584112264,0.449788373927924,0.436293653453229,0.361173073401877,0.381993438764908,0.438383834616925,0.458437609727542,0.422279607069941,0.431731582715667,0.384853632623514,0.45779688224126,0.396154050385195,0.461739106871104,0.413829533271479,0.44316496511024,0.419133714494575,0.449198065334546
"G282",0.413602441638124,0.484476523529341,0.470410298351015,0.402379881992356,0.405241339636261,0.491891363071852,0.418390537468487,0.419702158287608,0.459907960983466,0.371654114122141,0.401447224622014,0.40309355629026,0.425851172418988,0.414458772576836,0.395402898386452,0.50225418169497,0.389074575820562,0.435662152079503,0.486978483273229,0.624283997109525,0.591469589157608,1,0.442166732267105,0.394881434542891,0.42531739789019,0.407432583632565,0.428523521171992,0.443483014294724,0.422327825977263,0.436013867951652,0.418199226108559,0.363117611313805,0.381927834860579,0.457247367965461,0.425452876860837,0.444597049082201,0.436768842802781,0.388063712942699,0.453376682866251,0.357718947734093,0.437019857973476,0.384958486847914,0.412822615656315,0.421804291392499,0.448149393239834
"G283",0.410355080940022,0.422943515722671,0.456670378516707,0.398755985846849,0.413387986830013,0.437602610015591,0.364751818434443,0.397741216281249,0.446450727136034,0.388320371897552,0.380469670268384,0.397781448672738,0.410771756888199,0.400079154927267,0.397723074364325,0.433223128238089,0.698707814231446,0.422495932922723,0.416986229013872,0.434834951199682,0.440597153490108,0.442166732267105,1,0.400101792271791,0.35965427135744,0.367199502649422,0.360823895644046,0.370089919819809,0.358970806701052,0.358746622810242,0.355679982810351,0.351082865789083,0.398913465215044,0.453998199061705,0.386993458230129,0.416692055427964,0.427452990996041,0.351854109460834,0.394389922564466,0.38579612037142,0.39065702998023,0.368510998107375,0.391586417291775,0.370808357222428,0.402773650029537
"G287",0.424434078664393,0.367368265562862,0.375286919222562,0.374846957513112,0.376386115131661,0.388759767508665,0.407106174038708,0.378436161546248,0.382659793692451,0.404521365464999,0.348090909482852,0.400384639251721,0.451517097018197,0.41789814066494,0.411464647814792,0.408679042030023,0.368617856720106,0.453384266884018,0.431998266734821,0.392098898861374,0.403253030555959,0.394881434542891,0.400101792271791,1,0.377012645285487,0.473076449183449,0.454461655087399,0.40436914166324,0.439641241716973,0.407769586632899,0.423335727807939,0.398188050427023,0.358357724327505,0.443821639823043,0.490711895514176,0.474935020688377,0.462494111699829,0.436823475050564,0.407107418906559,0.488303377777878,0.405686705346934,0.431479401373319,0.449499397520091,0.443290179077032,0.394722900186262
"G290",0.341437203300327,0.438463948651088,0.428107130061152,0.344048699335433,0.373437936514951,0.427780331500146,0.367828302206686,0.451773277061318,0.455647245353109,0.396597472399995,0.414261367097217,0.431163442559254,0.396013758662705,0.459609306529282,0.379450705495804,0.469758186233388,0.335128385651868,0.386086704099251,0.488551608307993,0.472651926599276,0.450371439193717,0.42531739789019,0.35965427135744,0.377012645285487,1,0.426358296463986,0.457687070189032,0.529422922286209,0.456138911374485,0.496810637420516,0.457282340146207,0.425891523358757,0.341648213147307,0.436209334389603,0.443612736483292,0.410739779384485,0.377989802813372,0.373537397942566,0.46789142566228,0.375497002082593,0.436652117291428,0.435072795561257,0.463624027540287,0.373934638232746,0.436689058388112
"G316",0.406542979601925,0.373730923819742,0.387131257967818,0.364102205189111,0.339259485160543,0.395220077330759,0.365575330531017,0.393096616602094,0.402767248104094,0.442361915949327,0.362109274881958,0.403453196108006,0.531334860280266,0.466859677666593,0.347068637909706,0.431412832622407,0.346776017984162,0.47613664971376,0.472448075023287,0.396240369269686,0.451377026701219,0.407432583632565,0.367199502649422,0.473076449183449,0.426358296463986,1,0.648001609131823,0.554604512167622,0.625375891320439,0.549878212487636,0.547664750989296,0.403273383994708,0.385748843854944,0.434142973219134,0.601641437331725,0.442003486880542,0.410790064954565,0.414360518335323,0.451976539776097,0.461466820324401,0.401471618398212,0.447673094378525,0.462652831598173,0.444399958378331,0.4169082384405
"G317",0.368122309673442,0.408919242896074,0.406783211331834,0.370362069592705,0.363273043723863,0.43772600788207,0.375739173204605,0.398647013685565,0.415910776512291,0.418166260107733,0.365399150249933,0.40031028616902,0.541257946946998,0.504257062357739,0.358174812624109,0.457364446416552,0.331740165861764,0.452615449529399,0.480930563344234,0.41826947914978,0.460918479853973,0.428523521171992,0.360823895644046,0.454461655087399,0.457687070189032,0.648001609131823,1,0.64409178670107,0.712423618257582,0.606584407451816,0.598895502675035,0.401756958383881,0.37867869521912,0.43441286950202,0.549564678293643,0.443319851688273,0.421497754531177,0.403476334401271,0.453229919038963,0.437090176067678,0.427540911072735,0.466879754338134,0.463074746107766,0.453990859818542,0.388961420028081
"G321",0.323745930473755,0.41898615872962,0.413729947165729,0.3440417172553,0.360687956852961,0.433097282471445,0.350864121670176,0.414663870582796,0.432209850527148,0.40878732138346,0.412390045588087,0.461952950073379,0.477719420064807,0.49672777866209,0.378454822269371,0.472533547137161,0.351275653574504,0.399681866361527,0.489373074738602,0.443026950290959,0.456620538326884,0.443483014294724,0.370089919819809,0.40436914166324,0.529422922286209,0.554604512167622,0.64409178670107,1,0.644483187936904,0.684559851061744,0.566958580881109,0.410540343562713,0.380517989136537,0.434969813434069,0.48870316399568,0.38984546448139,0.359931498593363,0.379252471990614,0.437557332232376,0.383110453658962,0.431911531174298,0.456738221597901,0.453088229197906,0.388793813674073,0.419403345788059
"G323",0.359906679605101,0.407933766022327,0.408597391216937,0.374136183578634,0.363069472927854,0.440440112426918,0.38531638127051,0.400316559643456,0.415866248112511,0.410212534873334,0.377975895300824,0.428821469436744,0.525188917847333,0.48037916436408,0.345409767798951,0.459614981643761,0.348157753031319,0.446718450882868,0.459467769692894,0.435776809301296,0.446288584112264,0.422327825977263,0.358970806701052,0.439641241716973,0.456138911374485,0.625375891320439,0.712423618257582,0.644483187936904,1,0.658860777698829,0.625456423212714,0.415228793166861,0.354965888017351,0.444288768471278,0.526933045801188,0.428215088957286,0.39655034040121,0.384469763627871,0.437592833438609,0.41500806085701,0.40312904835937,0.436654621817833,0.437487187517793,0.423650204296546,0.404465274645035
"G325",0.353449866249402,0.408334687001886,0.399047818940098,0.355218300326974,0.34316988483019,0.441407075920389,0.360163486150726,0.403139271068862,0.420670076760447,0.419065012690388,0.399271941369109,0.443002495997595,0.510678084286907,0.462584274560196,0.357853488120791,0.451111841533002,0.335237700581116,0.434862985674058,0.45192373076439,0.458378598243927,0.449788373927924,0.436013867951652,0.358746622810242,0.407769586632899,0.496810637420516,0.549878212487636,0.606584407451816,0.684559851061744,0.658860777698829,1,0.603391974419778,0.408547732804448,0.350658267317626,0.426218078212097,0.502814658469098,0.400488208447741,0.385376840733302,0.403958298562425,0.419538586461516,0.388769898956436,0.411361267202659,0.414023688749029,0.424096039984037,0.409845565559033,0.401359911087859
"G330",0.37281433127237,0.408965563248336,0.392428996891077,0.374325082638506,0.383996085773068,0.434168568440459,0.378762537767492,0.411619916796527,0.420981044062995,0.410920272481615,0.37211904303122,0.412485333601633,0.508059135714984,0.449982382241295,0.336751037896852,0.44781149905573,0.348477406688732,0.409022825704194,0.450476241486944,0.422692486412254,0.436293653453229,0.418199226108559,0.355679982810351,0.423335727807939,0.457282340146207,0.547664750989296,0.598895502675035,0.566958580881109,0.625456423212714,0.603391974419778,1,0.407377003242886,0.35830660814326,0.444050068836753,0.491651182016088,0.412609068658584,0.391535836831059,0.385355815664696,0.425383511786225,0.386568729748243,0.392847604967644,0.47158118470452,0.419029506264712,0.407839729376746,0.396518323548542
"G383",0.38766819545813,0.335063950742151,0.327572536911587,0.379488909361451,0.381030548914324,0.365618245853361,0.346511703377732,0.333216211658155,0.362598503829099,0.405050661815801,0.417122590229556,0.410755771018616,0.392613471471586,0.374820692646067,0.409983846433128,0.363185855336724,0.355968066177658,0.373702896369859,0.374012408177064,0.343629946413826,0.361173073401877,0.363117611313805,0.351082865789083,0.398188050427023,0.425891523358757,0.403273383994708,0.401756958383881,0.410540343562713,0.415228793166861,0.408547732804448,0.407377003242886,1,0.358319941770388,0.42575322075123,0.383221950410949,0.4343248568442,0.395652822660767,0.418228732272345,0.380761680657065,0.384800730005734,0.372401748212605,0.378939881281337,0.385094144573578,0.411170082722053,0.372363730130824
"G387",0.345427807589065,0.394512620245897,0.341094256485192,0.40224629923294,0.389332953758,0.368937416382613,0.381694596578791,0.360273836942848,0.376390435537676,0.339066243645456,0.398045061516788,0.392017102697093,0.406600542754832,0.422481823210724,0.382580886657565,0.390529529104053,0.386579945227093,0.338717874705245,0.396334771835175,0.342963503506678,0.381993438764908,0.381927834860579,0.398913465215044,0.358357724327505,0.341648213147307,0.385748843854944,0.37867869521912,0.380517989136537,0.354965888017351,0.350658267317626,0.35830660814326,0.358319941770388,1,0.372791170223929,0.390602305197073,0.365118839119752,0.354490261266699,0.326372678740518,0.390642632188559,0.363828370022166,0.369671215961573,0.382638824866221,0.345235003099447,0.370414129903578,0.357514815122393
