name,effect,Var,14Q2,15Q2,16Q2,17Q2,NoSeason,Sum,reliability,geff.x,G
15Q2ALL55-0559,-1.487167047,7.531645247,0,0,6,0,1,6,0.571328269,-1.465229874,-0.142124861
15Q2ALL55-0560,-5.324101798,7.531645247,0,0,6,0,1,6,0.571328269,-5.023075161,-4.035738977
15Q2ALL55-0561,-5.497807688,7.609398284,0,0,6,0,1,6,0.56690287,-4.36788549,-3.889983455
15Q2ALL55-0562,-2.871362324,7.609398284,0,0,6,0,1,6,0.56690287,-2.8791759,-1.631158012
15Q2ALL55-0563,-2.329860058,7.609398284,0,0,6,0,1,6,0.56690287,-2.383557992,-2.145889481
15Q2ALL55-0564,-7.154964846,7.602521585,0,0,6,0,1,6,0.567294265,-6.957473082,-6.211690108
15Q2ALL55-0565,2.236983101,7.602521585,0,0,6,0,1,6,0.567294265,1.200033408,1.360539091
15Q2ALL55-0566,-5.057071342,7.602521585,0,0,6,0,1,6,0.567294265,-5.05263338,-4.500695
15Q2ALL55-0567,-3.784954855,7.602521585,0,0,6,0,1,6,0.567294265,-3.718269595,-2.94702816
15Q2ALL55-0568,-4.374730607,7.602521585,0,0,6,0,1,6,0.567294265,-4.317332209,-4.291550473
15Q2ALL55-0569,-7.531891574,7.574426848,0,0,6,0,1,6,0.568893307,-7.725461812,-6.23026132
15Q2ALL55-0570,-0.095768259,9.681398673,0,0,6,0,1,6,0.448972728,0.495835116,0.979186289
15Q2ALL55-0571,0.146580826,9.681398673,0,0,6,0,1,6,0.448972728,-0.57755676,0.17340797
15Q2ALL55-0572,-4.191226088,9.681398673,0,0,6,0,1,6,0.448972728,-3.522014251,-2.42242819
15Q2ALL55-0573,1.046744351,3.077661132,0,0,6,19,2,25,0.824831589,0.813659167,-0.16769504
15Q2ALL55-0574,2.170738078,2.974026077,0,0,6,20,2,26,0.830730091,1.910379708,1.174399426
15Q2ALL55-0575,2.801666846,9.681398673,0,0,6,0,1,6,0.448972728,3.409524161,4.055750672
15Q2ALL55-0576,4.7121992,2.974026077,0,0,6,20,2,26,0.830730091,5.08441238,5.263097069
15Q2ALL55-0577,7.412098757,9.681398673,0,0,6,0,1,6,0.448972728,6.933746621,7.435672026
15Q2ALL55-0578,1.598763655,9.681398673,0,0,6,0,1,6,0.448972728,2.242861716,3.127315101
15Q2ALL55-0579,4.448991791,9.681398673,0,0,6,0,1,6,0.448972728,4.185604164,5.209576389
15Q2ALL55-0580,7.129941851,2.974026077,0,0,6,20,2,26,0.830730091,7.839171148,8.276294021
15Q2ALL55-0581,-8.321883984,7.598679541,0,0,6,0,1,6,0.567512939,-8.473912259,-6.963574862
15Q2ALL55-0582,-1.774420494,7.598679541,0,0,6,0,1,6,0.567512939,-1.619102927,-0.96590548
15Q2ALL55-0583,-2.000469881,7.598679541,0,0,6,0,1,6,0.567512939,-2.101822394,-1.360563015
15Q2ALL55-0584,-2.174359034,7.598679541,0,0,6,0,1,6,0.567512939,-2.138181491,-1.725635405
15Q2ALL55-0585,-0.524567517,7.598679541,0,0,6,0,1,6,0.567512939,-0.299676528,0.517189585
15Q2ALL55-0586,1.439369098,7.598679541,0,0,6,0,1,6,0.567512939,1.470289137,1.989805757
15Q2ALL55-0587,-1.713305408,7.598679541,0,0,6,0,1,6,0.567512939,-1.318705257,-0.809920432
15Q2ALL55-0588,-3.992007291,7.549951125,0,0,6,0,1,6,0.57028637,-3.009320879,-0.408159713
15Q2ALL55-0589,6.514987785,3.14500411,0,0,6,16,2,22,0.820998691,6.673736306,6.399745953
15Q2ALL55-0590,0.165630019,7.537626604,0,0,6,0,1,6,0.570987833,0.357356192,-0.171441712
15Q2ALL55-0591,1.107491752,7.537626604,0,0,6,0,1,6,0.570987833,1.866938675,1.857928248
15Q2ALL55-0592,1.297769122,7.537626604,0,0,6,0,1,6,0.570987833,1.893500572,1.829202153
15Q2ALL55-0593,1.037070841,8.287757407,0,0,5,0,1,5,0.528293328,2.921476996,2.978753997
15Q2ALL55-0594,5.031255128,3.14500411,0,0,6,16,2,22,0.820998691,4.988439353,5.705373999
